,node_number,edge_number,graph,fw_node_wfs,bw_node_wfs,connected,fw_len,bw_len
134,4,3,"move(1,4). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
135,4,3,"move(1,3). move(1,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
136,4,2,"move(2,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
137,4,3,"move(1,3). move(2,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
138,4,4,"move(1,3). move(1,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
139,4,3,"move(1,4). move(2,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
140,4,3,"move(2,1). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
141,4,4,"move(1,3). move(1,4). move(2,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
142,4,4,"move(1,3). move(2,1). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
143,4,4,"move(1,4). move(2,1). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
144,4,5,"move(1,3). move(1,4). move(2,1). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
145,4,2,"move(2,3). move(3,2).",{'draw'},{'draw'},SAT,1,1
146,4,3,"move(2,1). move(2,3). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
147,4,3,"move(1,3). move(2,3). move(3,2).",{'draw'},"{'won', 'lost'}",SAT,1,2
148,4,3,"move(2,3). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
149,4,4,"move(1,3). move(2,1). move(2,3). move(3,2).",{'draw'},{'draw'},SAT,1,1
150,4,4,"move(2,1). move(2,3). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
151,4,4,"move(1,3). move(2,3). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
152,4,5,"move(1,3). move(2,1). move(2,3). move(3,1). move(3,2).",{'draw'},{'draw'},SAT,1,1
153,4,3,"move(1,4). move(2,3). move(3,2).","{'won', 'draw', 'lost'}","{'won', 'draw', 'lost'}",UNSAT,3,3
154,4,4,"move(1,3). move(1,4). move(2,3). move(3,2).","{'won', 'draw', 'lost'}","{'won', 'lost'}",SAT,3,2
155,4,4,"move(1,4). move(2,3). move(3,1). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
156,4,4,"move(1,4). move(2,1). move(2,3). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
157,4,5,"move(1,3). move(1,4). move(2,3). move(3,1). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
158,4,5,"move(1,3). move(1,4). move(2,1). move(2,3). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
159,4,2,"move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
160,4,6,"move(1,3). move(1,4). move(2,1). move(2,3). move(3,1). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
161,4,5,"move(1,4). move(2,1). move(2,3). move(3,1). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
162,4,3,"move(1,3). move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
163,4,3,"move(2,3). move(2,4). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
164,4,4,"move(1,4). move(2,3). move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'draw', 'lost'}",SAT,2,3
165,4,4,"move(1,3). move(2,3). move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
166,4,3,"move(1,4). move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
167,4,4,"move(1,3). move(1,4). move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
168,4,3,"move(2,1). move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
169,4,5,"move(1,3). move(1,4). move(2,3). move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
170,4,4,"move(1,3). move(2,1). move(2,4). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
171,4,4,"move(1,4). move(2,1). move(2,4). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
172,4,5,"move(1,3). move(1,4). move(2,1). move(2,4). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
173,4,4,"move(2,1). move(2,3). move(2,4). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
174,4,5,"move(1,4). move(2,1). move(2,3). move(2,4). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
175,4,5,"move(1,3). move(2,1). move(2,3). move(2,4). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
176,4,6,"move(1,3). move(1,4). move(2,1). move(2,3). move(2,4). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
177,4,3,"move(2,4). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
178,4,4,"move(2,1). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
179,4,4,"move(1,3). move(2,4). move(3,1). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
180,4,5,"move(1,3). move(2,1). move(2,4). move(3,1). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
181,4,5,"move(2,1). move(2,3). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
182,4,4,"move(2,3). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
183,4,6,"move(1,3). move(2,1). move(2,3). move(2,4). move(3,1). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
184,4,5,"move(1,3). move(2,3). move(2,4). move(3,1). move(3,2).","{'won', 'draw', 'lost'}",{'draw'},SAT,3,1
185,4,4,"move(1,4). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
186,4,5,"move(1,3). move(1,4). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
187,4,5,"move(1,4). move(2,3). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
188,4,6,"move(1,3). move(1,4). move(2,3). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
189,4,5,"move(1,4). move(2,1). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
190,4,6,"move(1,4). move(2,1). move(2,3). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
191,4,1,"move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
192,4,2,"move(1,3). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
193,4,6,"move(1,3). move(1,4). move(2,1). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
194,4,7,"move(1,3). move(1,4). move(2,1). move(2,3). move(2,4). move(3,1). move(3,2).","{'won', 'lost'}",{'draw'},SAT,2,1
195,4,2,"move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
196,4,3,"move(1,3). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
197,4,2,"move(2,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
198,4,3,"move(2,4). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
199,4,3,"move(1,3). move(2,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
200,4,4,"move(1,3). move(2,4). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
201,4,2,"move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
202,4,3,"move(1,3). move(3,1). move(3,4).","{'won', 'lost'}",{'draw'},SAT,2,1
203,4,3,"move(2,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
204,4,4,"move(1,3). move(2,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'draw', 'lost'}",SAT,2,3
205,4,3,"move(3,1). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
206,4,4,"move(2,4). move(3,1). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
207,4,4,"move(1,3). move(3,1). move(3,2). move(3,4).","{'won', 'lost'}",{'draw'},SAT,2,1
208,4,2,"move(1,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
209,4,5,"move(1,3). move(2,4). move(3,1). move(3,2). move(3,4).","{'won', 'lost'}",{'draw'},SAT,2,1
210,4,3,"move(1,3). move(1,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
211,4,3,"move(1,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
212,4,4,"move(1,3). move(1,4). move(3,1). move(3,4).","{'won', 'lost'}",{'draw'},SAT,2,1
213,4,3,"move(1,4). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
214,4,4,"move(1,4). move(3,1). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
215,4,4,"move(1,3). move(1,4). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
